name,nickname,country,team,position,age,games_played,time_played,goals,goal_assists,headed_goals,left_foot_goals,right_foot_goals,penalties_taken,penalty_goals,penalties_faced,penalties_saved,total_saves,total_passes,Total_successful_passes,total_unsuccessful_passes,unsuccessful_dribbles,successful_dribbles,clean_sheets,total_shots,tackles_lost,tackles_won,yellow_cards,total_red_cards
Fernando Francisco Reges,Fernando,BR,Sevilla FC,Midfielder,35,24,1850,1,1,0,0,1,0,0,0,0,0,3570,3301,269,4,7,7,4,7,17,6,0
Gonzalo Montiel,G. Montiel,AR,Sevilla FC,Defender,25,18,1068,1,2,0,0,1,0,0,0,0,0,1577,1311,266,5,3,4,5,11,4,7,0
Ivan Rakitic,I. Rakitic,HR,Sevilla FC,Midfielder,34,35,2185,4,6,0,0,4,2,1,0,0,0,4463,3969,494,13,8,4,25,18,22,5,0
IvÃ¡n Romero,IvÃ¡n,ES,Sevilla FC,Forward,21,5,178,0,0,0,0,0,0,0,0,0,0,92,80,12,6,3,0,1,0,2,0,0
Javier DÃ­az,Javi Diaz,ES,Sevilla FC,Goalkeeper,25,1,90,0,0,0,0,0,0,0,0,0,1,85,73,12,0,0,0,0,0,0,0,0
JesÃºs Corona,Tecatito,MX,Sevilla FC,Forward,29,18,1161,2,4,1,1,0,0,0,0,0,0,1510,1286,224,25,19,1,10,5,7,2,0
JesÃºs Navas,J. Navas,ES,Sevilla FC,Defender,36,25,1788,0,3,0,0,0,0,0,0,0,0,3202,2699,503,9,6,8,8,5,13,4,0
Joan JordÃ¡n,JordÃ¡n,ES,Sevilla FC,Midfielder,28,36,2527,0,1,0,0,0,0,0,0,0,0,5154,4723,431,14,23,6,11,31,30,9,0
JosÃ© Ãngel Carmona,Carmona,ES,Sevilla FC,Defender,20,1,23,0,0,0,0,0,0,0,0,0,0,23,17,6,0,1,0,0,0,0,0,0
Juan Luis SÃ¡nchez Velasco,Juanlu,ES,Sevilla FC,Defender,19,1,4,0,0,0,0,0,0,0,0,0,0,10,6,4,0,0,0,0,1,0,1,0
Jules KoundÃ©,Kounde,FR,Sevilla FC,Defender,24,32,2737,2,1,1,0,1,0,0,0,0,0,6034,5553,481,15,24,13,10,23,17,2,2
Karim Rekik,K. Rekik,NL,Sevilla FC,Defender,27,18,1094,0,2,0,0,0,0,0,0,0,0,2127,1983,144,3,5,3,4,3,8,2,0
Enrique JesÃºs Salas Valiente,Kike Salas,ES,Sevilla FC,Defender,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Ocampos,L. Ocampos,AR,Sevilla FC,Forward,28,30,2124,6,4,1,2,3,0,0,0,0,0,2102,1798,304,58,37,5,41,21,24,7,0
Ludwig Augustinsson,Augustinsson,SE,Sevilla FC,Defender,28,19,789,0,1,0,0,0,0,0,0,0,0,1239,1074,165,0,2,2,3,4,14,3,0
Luis Miguel Cruz HernÃ¡ndez,Luismi Cruz,ES,Sevilla FC,Forward,21,2,12,0,0,0,0,0,0,0,0,0,0,14,6,8,0,1,0,0,0,0,0,0
Marcos AcuÃ±a,AcuÃ±a,AR,Sevilla FC,Defender,31,31,2264,1,3,0,1,0,0,0,0,0,0,4533,3911,622,22,44,10,10,21,29,10,0
Marko Dmitrovic,Dmitrovic,RS,Sevilla FC,Goalkeeper,30,6,540,0,0,0,0,0,0,0,0,0,15,517,441,76,0,0,4,0,0,0,1,0
Munir El-Haddadi,Munir,MA,Sevilla FC,Forward,27,16,468,2,0,0,2,0,0,0,0,0,0,352,296,56,6,2,0,9,4,4,3,0
Ignacio Quintana Navarro,N. Quintana,ES,Sevilla FC,Midfielder,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemanja Gudelj,Gudelj,RS,Sevilla FC,Midfielder,30,21,1040,0,0,0,0,0,0,0,0,0,0,1926,1782,144,0,0,4,4,9,7,5,0
Pablo PÃ©rez,Pablo P.,ES,Sevilla FC,Defender,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
